App Name,Package,lon
Makeup Beauty - Makeup games,6447053495,1
2048,com.LoopGames.game2048,29
2048,840919914,1000
9292,nl.negentwee,5
†ÈÍWordBit Almanca,net.wordbit.detr,1
---,6443844165,1
---,545993260,1
---,388062475,1
---,com.television.advance.clls,1
---,com.actopolus.pixeldudesandbox,1
---,car.jam.traffic.seat.unblock,1
---,b019dchdzk,1
---,B07DBBTDBS,1
---,com.fc.p.zto.tip.tap.ticktock.rigolo.challenge.minigames,1
---,6472412918,1
---,359917414,1
---,1466197423,1
---,1434505322,1
---,1317978215,1
---,1057889290,1
---,1489425493,1
---,1563148041,1
---,com.seat.escape,2
---,com.matchgoods.sortgame.gridplus,2
---,1190849728,2
---,1568245971,2
---,6497230434,3
---,1435951901,3
---,1552231557,3
---,1531856776,4
---,1557392270,4
---,6449934686,4
---,com.age.sails,5
---,1324604053,5
---,428312806,5
---,1193508329,6
---,1435899684,8
---,com.ig.bus.out,8
---,1439776386,10
---,in.playsimple.tripcross,11
---,com.easybrain.art.puzzle,13
---,1635289326,15
---,1452992954,15
---,1407852246,21
---,com.downhill.race.league,25
---,1452227871,27
---,com.ig.color.wood.screw,29
---,com.wood.bolt.wordle.screw.nuts.puzzle,55
---,1274972321,114
---,1505735640,141
---,com.brainium.solitairefree,323
---,642831690,403
(Bot„o Trick) Trick FF Button,com.botaotrick.nickshock,2
[3D Platformer] Super Bear Adventure,com.Earthkwak.Platformer,25
‘Ø»Uì1˙≤¸‡ön„M!ô—∫Î≤¸‡,com.kuraki.picto,1
@Voice Aloud Reader (TTS),com.hyperionics.avar,26
∆FreeCell,504368649,2
∆Solitaire,479280326,7
∆Solitaire: Classic Card Games,479280326,20
∆Sudoku,418044512,8
ª Solitaire,500963785,272
ªSudoku,366247306,172
ΩPuppet Soccer 2014 - Big Head Football ∆,air.com.noxgames.PuppetSoccer2014,26
ËHeroes of Match 3,com.cleverapps.runes,1
ì¶Car Driving School Simulator ï∏,com.boombitgames.DrivingSchoolParking,487
1 2 3 4 Player Games,1635978552,160
1 2 3 4 Player Games,com.JindoBlu.FourPlayers,1053
1 Tap Mystery,com.one.tapmystery,3
1 Translate & Chat Translator,com.mobnet.translate,2
1&1 TV,com.einsundeinstv.player,33
100 Doors - Escape from Prison,com.hundred_doors_game.escape_from_prison,658
100 Doors Challenge,com.protey.doors_challenge,60
100 Monsters Game: Escape Room,6449667860,13
100 Monsters Game: Escape Room,ngx100.escape.rooms.mystery.door,56
100 Mystery Buttons - Escape,1579630531,4
100 Mystery Buttons - Escape,com.hyper.hundredmysterybuttons,99
100 Years - Life Simulator,1524755868,50
100 Years - Life Simulator,com.lawson.life,70
101 Okey - 0nternetsiz,com.hyilmaz.okey.yuzbir,6
101 Okey HD-0nternetsiz Y¸zBir,913569430,236
101 Okey 0nternetsiz HD Y¸zbir,com.alper.okey101.hd,113
101 Okey Plus Rummy Board Game,649260774,96
101 Okey Star ( 0nternetsiz ),1329291047,3
101 Okey VIP Club: Y¸zbir Oyna,1638688126,19
101 Y¸zbir Okey Plus,net.peakgames.Yuzbir,149
1010! Block Puzzle Game,911793120,246
1010! Block Puzzle Game,com.gramgames.tenten,1431
1010! Block Puzzle King,com.ununtrium.adr.block,2
123 - Number Puzzle Game,com.inspiredsquare.numbers123,6
1941 AirAttack: Airplane Games,com.onegame.airattack.planegames,21
1942 - Classic shooting games,com.os.wars.squadron,47
1942 Classic Arcade,1422972690,3
1945 - Airplane shooting game,1460632826,27
1945 Air Force: Airplane games,com.os.airforce,377
1945 Arcade Shooting,com.os.airforce,1
1DM: Browser & Video Download,idm.internet.download.manager,90
1LINE One Line with One Touch,com.one1line.onetouch.onestroke.dotgame,13
1v1.LOL - Battle Royale Game,lol.onevone,8
1Weather Forecasts & Radar,com.handmark.expressweather,75
2 3 4 Player Mini Games Party,com.ud.two.player.mini.games.challenge,5
2 Player Battle -No Wifi Games,1601400687,37
2 Player Games,com.fc.be.pl.tow.player.challenge.minigames,2
2 Player Games - Funny Box,1614029948,52
2 Player Games - Party Battle,com.cdt.game234.player,8
2 Player Games - Pastimes,com.tellmewow.senior.pastimes,2
2 Player Games : the Challenge,1465731199,193
2 Player games : the Challenge,com.JindoBlu.TwoPlayerGamesChallenge,752
2 Player Games: 1v1 Challenge,com.onegame.twoplayergames.versuschallenge,164
2 Player Games: Fun Mini Games,com.bonbongame.two.player.games.with.friends,23
2 THE MOON,com.gnarcade.doge,4
20 Minutes - Toute l'actualitÈ,com.backelite.vingtminutes,1
20 Minutes Till Dawn,com.Flanne.MinutesTillDawn.roguelike.shooting.fr.gp,1
20 Minutes.fr - l'actualitÈ en continu,308834491,1
2048 Balls 3D,com.Ilya.dropballs,6
2048 Blast: Merge Numbers 2248,com.unicostudio.blast2048,324
2048 Bricks,1299745483,3
2048 Genius,appinventor.game.genius2048,1
2048 Merge Games - M2 Blocks,merge.blocks.drop.number.puzzle.games,1263
2048 Number Puzzle game,842250179,1139
2048 Number puzzle game,com.estoty.game2048,2880
2048Pzll: Number Game,numberr.mergee.newblocks.puzzle.game,1
2248 - Merge games,com.merge.puzzle.games.block.link,1
2248 - Number Games 2048,com.inspiredsquare.jupiter,9
2248 - Number Link Puzzle Game,com.playvalve.number.link,1
2248 - Number Puzzle Game,1487607878,328
2248 - Numbers Game 2048,com.inspiredsquare.jupiter,7842
2248 Puzzle,com.inspiredsquare.jupiter,55
2248: Number Games 2048 Puzzle,com.inspiredsquare.jupiter,2
2248: Number Puzzle 2048,com.oakgames.linked2248.numberpuzzle,48
248: Number Connect 2248,com.bigstarkids.numberspuzzle248,1
280days: Pregnancy Diary,com.amanefactory.totsukitoka,1
29 Card Master : Offline Game,com.minigamelab.twentynine,14
2Accounts - Dual Apps Space,com.excelliance.multiaccount,14
2D Strike,kz.qqqschulz.strike2d,1
2dehands,be.tweedehands.m,1
2Steps: Dating App & Chat,com.twosteps.twosteps,36
3 Dots - Connect em all,and.lihuhu.threedotscollectemall,1
3 Link - Relaxing Fun,onet.connect.game,46
3 Tiles - Tile Matching Games,tile.master.connect.matching.game,968
"3 Tiles, Matching Puzzle",com.tile.master.connect.puzzle,12
30s Sausage: Survival Master,com.abi.sausage.survival,14
365Scores,571801488,395
365Scores: Live Scores & News,com.scores365,38
3B Meteo - Weather Forecasts,com.Meteosolutions.Meteo3b,1
3D Junk Master,games.junk.master,2
3D Skin Editor for MCPE,com.Skin.Editor.forMCPE,1
3D Skin Editor for MCPE,1549130885,1
3D Super Rolling Ball Race,com.sky.rolling.ball.jump.balance.escape.adventure,18
3D Tennis,com.cg.tennis,1
3D Traffic Escape,com.draw.monster.fighter.huawei,77
3Line Match,com.threel.inemat,11
4 Bilder 1 Wort,595098366,156
4 Bilder 1 Wort,de.lotum.whatsinthefoto.de,1430
4 Fotos 1 Palabra,598945891,7
4 Fotos 1 Palabra,de.lotum.whatsinthefoto.es,76
4 Imagens 1 Voz,com.bjgame.app.picswordes,1
4 Pics 1 Word,de.lotum.whatsinthefoto.us,8
4 Pics 1 Word,595558452,43
456 Cat Survival Master 3D,com.abi.banana.survival.master,9
456 Craft Survival,com.craft.survival.challenge456,1
456 Run Challenge: Clash,6475710058,1
456 Run Challenge: Clash 3D,com.run.squid.challenges.survival.clash,265
456 Survival: I'm not Monster,com.huggygame.survivalchallenge.survivalgame,1
456: Squid Game Challenge,com.GNEGames.SquidGameChallenge,1
4ebur.net VPN - Fast VPN,com.cheburnet.mobile,5
4G Only - 4G Switcher LTE Mode,only4g.switcher4g.lte.network.only.mode,24
4K Wallpaper,com.rodalsoft.wallpaper,20
